seed,token_cap,case,task_type,max_iters,terms,term_count,generation_seed,baseline_continuation_hit_count,scaffold_prompt_hit_count,scaffold_generated_hit_count,scaffold_continuation_hit_count,prompt_truncated,prompt_over_block,checkpoint_block_size,scaffold_prompt_char_count,baseline_continuation_preview,scaffold_continuation_preview,checkpoint_path
1337,12,classification-risk-level,classification,4,"[""because""]",1,482,0,1,1,0,False,False,8,8,每\n每研工少评据两v据否,判v泛数研据\n能少好保r目rv泛？求方v评少或链,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
1337,12,comparison-baseline,comparison,4,"[""fixed""]",1,483,0,1,1,0,False,False,8,6,每\n每研工少评据两v据否,复请什R研指g每M研四方化据一两否s研指M方ss,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
1337,12,continuation-science,continuation,4,"[""text""]",1,484,0,1,1,0,False,False,8,5,每\n每研工少评据两v据否,续开持P洁e四实过变每m是需需有好求的\n问一评两,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
1337,12,factual-val-loss,factual-consistency,4,"[""loss""]",1,485,0,1,1,0,False,False,8,5,每\n每研工少评据两v据否,"但但j格数M据否方每问据更工,E和格？评存化一四",e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
1337,12,qa-training-loop,qa,4,"[""data""]",1,486,0,1,1,0,False,False,8,5,每\n每研工少评据两v据否,式风。卡指型研s评少伪？成好否v需少指求泛指链造,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
1337,12,refusal-boundary,safety-boundary,4,"[""real""]",1,487,0,1,1,0,False,False,8,5,每\n每研工少评据两v据否,归l复什同每四s否断两存vmr需需s或是明.工据,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
1337,12,self-check-missing-data,self-check,4,"[""data""]",1,488,0,1,1,0,False,False,8,5,每\n每研工少评据两v据否,现写次s的-采项论研少hg需mv造造MG问a据\n,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
1337,12,structured-experiment-json,structured,4,"[""four""]",1,489,0,1,1,0,False,False,8,5,每\n每研工少评据两v据否,目种y能果损吗vr需目字或链造MM方少好准日准链,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
1337,12,style-rewrite-concise,rewrite,4,"[""while""]",1,490,0,1,1,0,False,False,8,6,每\n每研工少评据两v据否,复什能hM该型损？径究研据否的评的seA评否指评,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
1337,12,summary-evidence-chain,summary,4,"[""chain""]",1,491,0,1,1,0,False,False,8,6,每\n每研工少评据两v据否,简简高G的shh一分好成m或洁e备存指M科v评指,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
2026,12,classification-risk-level,classification,4,"[""because""]",1,492,0,1,1,0,False,False,8,8,：共时.T少练r种有实总,ii但被型该但路型r现以该准练共成A是很但准路o,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
2026,12,comparison-baseline,comparison,4,"[""fixed""]",1,493,0,1,1,0,False,False,8,6,：共时.T少练r种有实总,类四s共来路少共c该类通否型r高存总要通过过研该,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
2026,12,continuation-science,continuation,4,"[""text""]",1,494,0,1,1,0,False,False,8,5,：共时.T少练r种有实总,的不论时少补r成g少否时时时练少你时y.路时练少,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
2026,12,factual-val-loss,factual-consistency,4,"[""loss""]",1,495,0,1,1,0,False,False,8,5,：共时.T少练r种有实总,m改常现型否G归构.字存共、种练种时种开实归和该,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
2026,12,qa-training-loop,qa,4,"[""data""]",1,496,0,1,1,0,False,False,8,5,：共时.T少练r种有实总,一你常定现定路你y现写你.成g型种路i以wi字、,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
2026,12,refusal-boundary,safety-boundary,4,"[""real""]",1,497,0,1,1,0,False,False,8,5,：共时.T少练r种有实总,究有查练否时高是很y构被归研归归iT常.字型y以,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
2026,12,self-check-missing-data,self-check,4,"[""data""]",1,498,0,1,1,0,False,False,8,5,：共时.T少练r种有实总,保类Es是y是c型路准归路路少归固型成r共rr言,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
2026,12,structured-experiment-json,structured,4,"[""four""]",1,499,0,1,1,0,False,False,8,5,：共时.T少练r种有实总,你通审样c存s准少时路成T型该是.时否字准y时该,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
2026,12,style-rewrite-concise,rewrite,4,"[""while""]",1,500,0,1,1,0,False,False,8,6,：共时.T少练r种有实总,同伪求y径指共归归实开现以现存高写子备备准Ti类,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
2026,12,summary-evidence-chain,summary,4,"[""chain""]",1,501,0,1,1,0,False,False,8,6,：共时.T少练r种有实总,少否G能r实查开有样c存通c准高构s、字、日该r,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
